Total classes 47.
Number of train samples : 6931
Total classes 47.
Number of val samples : 1733
=> creating model 'SpixelNet1l_bn'
=> setting adam solver
=> will save everything to /vulcanscratch/cmparam9/gh/dispTask/checkpoints/SceneFlow/SpixelNet1l_bn_adam_3000000epochs_epochSize6000_b8_lr5e-05_posW0.003_
/cfarhomes/cmparam9/.local/lib/python3.6/site-packages/torch/utils/data/dataloader.py:481: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
train Epoch: [0][0/866]	 Time 7.679 (7.679)	 Data 4.385 (4.385)	 Total_loss 152.295 (152.295)	 Loss_sem 3.275 (3.275)	 Loss_pos 149.020 (149.020)	
train Epoch: [0][10/866]	 Time 0.743 (1.453)	 Data 0.400 (0.884)	 Total_loss 137.457 (161.481)	 Loss_sem 3.039 (3.118)	 Loss_pos 134.418 (158.364)	
train Epoch: [0][20/866]	 Time 0.933 (1.188)	 Data 0.605 (0.741)	 Total_loss 149.771 (155.657)	 Loss_sem 2.983 (3.062)	 Loss_pos 146.789 (152.595)	
train Epoch: [0][30/866]	 Time 0.912 (1.091)	 Data 0.636 (0.688)	 Total_loss 149.499 (155.466)	 Loss_sem 2.862 (3.031)	 Loss_pos 146.636 (152.435)	
train Epoch: [0][40/866]	 Time 0.771 (1.040)	 Data 0.455 (0.661)	 Total_loss 132.615 (150.999)	 Loss_sem 2.863 (2.992)	 Loss_pos 129.752 (148.008)	
train Epoch: [0][50/866]	 Time 0.912 (1.021)	 Data 0.584 (0.651)	 Total_loss 182.693 (150.906)	 Loss_sem 2.749 (2.952)	 Loss_pos 179.943 (147.954)	
train Epoch: [0][60/866]	 Time 0.874 (1.001)	 Data 0.564 (0.642)	 Total_loss 142.532 (151.493)	 Loss_sem 2.534 (2.900)	 Loss_pos 139.998 (148.593)	
train Epoch: [0][70/866]	 Time 0.812 (0.987)	 Data 0.477 (0.635)	 Total_loss 171.748 (149.154)	 Loss_sem 2.341 (2.831)	 Loss_pos 169.407 (146.322)	
train Epoch: [0][80/866]	 Time 0.918 (0.980)	 Data 0.600 (0.631)	 Total_loss 128.434 (147.162)	 Loss_sem 1.960 (2.741)	 Loss_pos 126.473 (144.421)	
train Epoch: [0][90/866]	 Time 1.000 (0.972)	 Data 0.718 (0.628)	 Total_loss 103.891 (143.177)	 Loss_sem 1.704 (2.644)	 Loss_pos 102.187 (140.534)	
train Epoch: [0][100/866]	 Time 0.961 (0.967)	 Data 0.630 (0.627)	 Total_loss 160.407 (140.539)	 Loss_sem 1.679 (2.549)	 Loss_pos 158.728 (137.990)	
train Epoch: [0][110/866]	 Time 1.106 (0.965)	 Data 0.820 (0.627)	 Total_loss 119.824 (138.262)	 Loss_sem 1.498 (2.461)	 Loss_pos 118.327 (135.802)	
train Epoch: [0][120/866]	 Time 0.778 (0.957)	 Data 0.449 (0.622)	 Total_loss 72.978 (134.159)	 Loss_sem 1.338 (2.374)	 Loss_pos 71.640 (131.786)	
train Epoch: [0][130/866]	 Time 1.003 (0.955)	 Data 0.702 (0.621)	 Total_loss 119.825 (131.343)	 Loss_sem 1.309 (2.294)	 Loss_pos 118.516 (129.049)	
train Epoch: [0][140/866]	 Time 0.838 (0.952)	 Data 0.560 (0.621)	 Total_loss 128.863 (129.355)	 Loss_sem 1.309 (2.224)	 Loss_pos 127.554 (127.131)	
train Epoch: [0][150/866]	 Time 1.112 (0.952)	 Data 0.737 (0.622)	 Total_loss 96.749 (127.406)	 Loss_sem 1.292 (2.159)	 Loss_pos 95.457 (125.247)	
train Epoch: [0][160/866]	 Time 1.011 (0.949)	 Data 0.731 (0.621)	 Total_loss 61.443 (124.779)	 Loss_sem 1.167 (2.100)	 Loss_pos 60.276 (122.679)	
train Epoch: [0][170/866]	 Time 0.893 (0.947)	 Data 0.611 (0.619)	 Total_loss 77.802 (122.723)	 Loss_sem 1.165 (2.047)	 Loss_pos 76.637 (120.676)	
train Epoch: [0][180/866]	 Time 0.845 (0.945)	 Data 0.508 (0.619)	 Total_loss 83.509 (120.402)	 Loss_sem 1.156 (1.997)	 Loss_pos 82.352 (118.405)	
train Epoch: [0][190/866]	 Time 0.859 (0.944)	 Data 0.522 (0.619)	 Total_loss 60.441 (118.278)	 Loss_sem 1.123 (1.953)	 Loss_pos 59.318 (116.325)	
train Epoch: [0][200/866]	 Time 0.931 (0.943)	 Data 0.645 (0.618)	 Total_loss 92.241 (116.352)	 Loss_sem 1.191 (1.912)	 Loss_pos 91.050 (114.440)	
train Epoch: [0][210/866]	 Time 0.726 (0.940)	 Data 0.403 (0.617)	 Total_loss 76.721 (114.427)	 Loss_sem 1.060 (1.873)	 Loss_pos 75.661 (112.554)	
train Epoch: [0][220/866]	 Time 0.835 (0.939)	 Data 0.556 (0.616)	 Total_loss 99.307 (112.478)	 Loss_sem 1.107 (1.838)	 Loss_pos 98.200 (110.640)	
train Epoch: [0][230/866]	 Time 0.991 (0.937)	 Data 0.681 (0.615)	 Total_loss 51.158 (110.591)	 Loss_sem 0.998 (1.804)	 Loss_pos 50.160 (108.787)	
train Epoch: [0][240/866]	 Time 0.752 (0.937)	 Data 0.436 (0.616)	 Total_loss 95.383 (109.235)	 Loss_sem 1.088 (1.773)	 Loss_pos 94.294 (107.462)	
